instancia,solver,versao,seed,makespan,tardiness,gap_pct,tempo_s,n_avaliacoes
16x2,PBIL-Fuzzy,tunado,104,1029.0,8278.0,19.37,0.43,4968
16x5,PBIL-Fuzzy,tunado,100,1926.0,22778.0,193.6,0.87,4968
16x5,PBIL-Fuzzy,tunado,101,2074.0,22875.0,216.16,0.86,4968
16x5,PBIL-Fuzzy,tunado,102,1648.0,17381.0,151.22,0.86,4968
16x5,PBIL-Fuzzy,tunado,103,2109.0,24145.0,221.49,0.86,4968
16x5,PBIL-Fuzzy,tunado,104,1788.0,19529.0,172.56,0.87,4968
16x4,PBIL-Fuzzy,tunado,100,1886.0,19703.0,146.54,0.84,4968
16x4,PBIL-Fuzzy,tunado,101,1835.0,20274.0,139.87,0.85,4968
16x4,PBIL-Fuzzy,tunado,102,1983.0,21661.0,159.22,0.87,4968
16x4,PBIL-Fuzzy,tunado,103,2281.0,26691.0,198.17,1.27,4968
16x4,PBIL-Fuzzy,tunado,104,2200.0,24968.0,187.58,1.54,4968
