experimento,instancia_rotulo,instancia_arquivo,n_jobs,n_machines,solver,versao,seed,makespan,tardiness,gap_pct,tempo_s,n_avaliacoes,lower_bound
original,16x4,I_4_16_5_1.txt,16,5,BRKGA,fixo_default,100,1509.0,15545.0,97.25,2.21,10000,765.0
original,16x4,I_4_16_5_1.txt,16,5,BRKGA,fixo_default,101,1541.0,15698.0,101.44,2.43,10000,765.0
original,16x4,I_4_16_5_1.txt,16,5,BRKGA,fixo_default,102,1415.0,13407.0,84.97,2.97,10000,765.0
original,16x4,I_4_16_5_1.txt,16,5,BRKGA,fixo_default,103,1626.0,15955.0,112.55,2.79,10000,765.0
original,16x4,I_4_16_5_1.txt,16,5,BRKGA,fixo_default,104,1497.0,15061.0,95.69,2.37,10000,765.0
original,16x4,I_4_16_5_1.txt,16,5,BRKGA,fuzzy,100,1719.0,19065.0,124.71,4.03,10000,765.0
original,16x4,I_4_16_5_1.txt,16,5,BRKGA,fuzzy,101,1830.0,18720.0,139.22,5.73,10000,765.0
original,16x4,I_4_16_5_1.txt,16,5,BRKGA,fuzzy,102,1468.0,14382.0,91.9,4.64,10000,765.0
original,16x4,I_4_16_5_1.txt,16,5,BRKGA,fuzzy,103,1420.0,14124.0,85.62,4.15,10000,765.0
original,16x4,I_4_16_5_1.txt,16,5,BRKGA,fuzzy,104,1398.0,12703.0,82.75,5.53,10000,765.0
original,16x4,I_4_16_5_1.txt,16,5,Neuro-BOA,adaptativo,100,2506.0,30635.0,227.58,63.1,4000,765.0
original,16x4,I_4_16_5_1.txt,16,5,Neuro-BOA,adaptativo,101,2397.0,29640.0,213.33,67.3,4000,765.0
original,16x4,I_4_16_5_1.txt,16,5,Neuro-BOA,adaptativo,102,2430.0,29500.0,217.65,51.51,4000,765.0
original,16x4,I_4_16_5_1.txt,16,5,Neuro-BOA,adaptativo,103,2501.0,30581.0,226.93,63.52,4000,765.0
original,16x4,I_4_16_5_1.txt,16,5,Neuro-BOA,adaptativo,104,2506.0,30497.0,227.58,64.85,4000,765.0
original,16x4,I_4_16_5_1.txt,16,5,PBIL-Fuzzy,default,100,1862.0,19687.0,143.4,2.62,8000,765.0
original,16x4,I_4_16_5_1.txt,16,5,PBIL-Fuzzy,default,101,1655.0,17656.0,116.34,1.46,8000,765.0
original,16x4,I_4_16_5_1.txt,16,5,PBIL-Fuzzy,default,102,1899.0,20279.0,148.24,1.48,8000,765.0
original,16x4,I_4_16_5_1.txt,16,5,PBIL-Fuzzy,default,103,1627.0,16253.0,112.68,1.52,8000,765.0
original,16x4,I_4_16_5_1.txt,16,5,PBIL-Fuzzy,default,104,1781.0,19944.0,132.81,1.52,8000,765.0
