experimento,instancia_rotulo,instancia_arquivo,n_jobs,n_machines,solver,versao,seed,makespan,tardiness,gap_pct,tempo_s,n_avaliacoes,lower_bound
padronizado,16x5,I_2_16_5_1.txt,16,5,PBIL-Fuzzy,default,102,1816.0,20754.0,176.83,0.92,4960,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,PBIL-Fuzzy,default,103,1919.0,22527.0,192.53,0.94,4960,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,PBIL-Fuzzy,default,104,1867.0,20683.0,184.6,0.94,4960,656.0
padronizado,16x4,I_4_16_5_1.txt,16,5,ACO,ACO_Optuna,100,3009.0,35432.0,293.33,19.09,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,ACO,ACO_Optuna,101,3261.0,41196.0,326.27,17.94,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,ACO,ACO_Optuna,102,3331.0,41886.0,335.42,18.62,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,ACO,ACO_Optuna,103,2647.0,32390.0,246.01,18.34,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,ACO,ACO_Optuna,104,2753.0,33293.0,259.87,17.87,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,BRKGA,fixo_default,100,1631.0,17344.0,113.2,1.08,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,BRKGA,fixo_default,101,1692.0,18051.0,121.18,1.5,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,BRKGA,fixo_default,102,1605.0,16898.0,109.8,1.84,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,BRKGA,fixo_default,103,1656.0,16489.0,116.47,1.14,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,BRKGA,fixo_default,104,1681.0,18061.0,119.74,1.14,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,BRKGA,fuzzy,100,1719.0,19065.0,124.71,2.62,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,BRKGA,fuzzy,101,1864.0,19736.0,143.66,2.49,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,BRKGA,fuzzy,102,1679.0,17732.0,119.48,2.56,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,BRKGA,fuzzy,103,1483.0,15591.0,93.86,3.75,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,BRKGA,fuzzy,104,1483.0,14169.0,93.86,2.37,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,Neuro-BOA,adaptativo,100,2429.0,28857.0,217.52,76.36,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,Neuro-BOA,adaptativo,101,2396.0,28980.0,213.2,68.23,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,Neuro-BOA,adaptativo,102,2397.0,28928.0,213.33,63.02,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,Neuro-BOA,adaptativo,103,2496.0,28661.0,226.27,73.98,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,Neuro-BOA,adaptativo,104,2445.0,30074.0,219.61,77.6,5000,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,PBIL-Fuzzy,default,100,1862.0,19687.0,143.4,0.93,4960,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,PBIL-Fuzzy,default,101,1798.0,19630.0,135.03,1.08,4960,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,PBIL-Fuzzy,default,102,2065.0,22315.0,169.93,1.62,4960,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,PBIL-Fuzzy,default,103,1836.0,19679.0,140.0,1.47,4960,765.0
padronizado,16x4,I_4_16_5_1.txt,16,5,PBIL-Fuzzy,default,104,2145.0,25206.0,180.39,0.91,4960,765.0
